@relation 'systemsdevelopment-weka.filters.unsupervised.attribute.Remove-R1-8,16-22-weka.filters.unsupervised.attribute.Remove-R2-5,7'

@attribute x-mean-1000 numeric
@attribute z-var-1000 numeric
@attribute class {walking,sitting,standing}

@data
2.46811,4.761394,walking
3.55464,7.684029,walking
3.270865,11.12915,walking
3.059597,15.776008,walking
3.038903,16.043394,walking
2.83132,15.371388,walking
2.827867,14.934463,walking
3.452481,15.343222,walking
3.42947,16.053488,walking
3.555026,16.462824,walking
3.704615,15.929613,walking
2.741648,12.085161,walking
3.281123,11.412214,walking
4.12457,9.633759,walking
3.519361,11.979575,walking
3.682933,12.38062,walking
3.732241,12.9401,walking
3.563289,12.725429,walking
3.463292,12.463208,walking
3.814081,12.45778,walking
3.900595,12.692114,walking
4.126385,13.415018,walking
3.435807,12.258885,walking
3.047891,6.539811,walking
2.88629,2.866849,walking
3.014661,9.144456,walking
3.247126,10.478023,walking
2.176914,11.807476,walking
1.627422,19.966371,walking
1.64959,27.434823,walking
1.473329,28.335567,walking
1.621685,27.588188,walking
2.172771,28.034056,walking
1.7251,28.350522,walking
2.135339,28.193066,walking
1.771606,22.906823,walking
0.936458,20.655356,walking
2.479933,27.188269,walking
2.627722,20.065443,walking
1.947616,17.071229,walking
1.908952,18.822688,walking
1.699079,18.52466,walking
1.570763,18.188945,walking
2.059319,18.133437,walking
2.159876,18.305975,walking
2.300126,18.365572,walking
2.50233,18.638417,walking
1.242699,9.705855,walking
2.206653,16.703184,walking
2.618062,16.568569,walking
2.295776,14.438931,walking
2.006205,15.659168,walking
1.941163,15.856607,walking
1.766937,15.165955,walking
1.877136,14.891963,walking
2.124296,15.917455,walking
1.852899,16.140861,walking
2.267967,16.302406,walking
1.394856,7.572366,walking
1.518986,10.644393,walking
2.260907,11.974771,walking
2.144018,14.866778,walking
1.700552,19.623053,walking
1.799046,22.28035,walking
1.617623,22.184644,walking
1.628061,21.046819,walking
2.219833,21.40309,walking
1.980002,22.38575,walking
2.229301,22.304548,walking
2.059475,18.817114,walking
1.139786,14.811649,walking
2.091876,17.79235,walking
2.244781,13.957544,walking
1.544859,13.97683,walking
1.553809,17.403519,walking
1.522833,17.371844,walking
1.239919,17.11349,walking
1.592724,15.796868,walking
1.714685,16.606322,walking
1.589456,16.752303,walking
1.755157,17.085317,walking
0.851933,9.022257,walking
1.156562,14.798428,walking
2.012952,15.360692,walking
1.454653,12.978799,walking
1.184056,16.358327,walking
1.129232,16.524075,walking
0.876528,16.54132,walking
1.03603,15.391553,walking
1.568292,15.789133,walking
1.316543,16.294844,walking
1.528535,16.941887,walking
1.205069,10.734325,walking
0.623597,8.32927,walking
1.678762,12.299607,walking
1.66713,9.915809,walking
1.431618,10.274786,walking
1.390209,13.994202,walking
1.266381,14.110779,walking
0.941361,13.494846,walking
1.440877,12.771685,walking
1.772513,11.793423,walking
1.891749,12.15581,walking
1.920377,13.364834,walking
1.131844,9.03451,walking
1.043459,7.269112,walking
1.813914,15.000827,walking
1.959996,12.231545,walking
1.23735,14.565798,walking
1.322263,17.072258,walking
1.282161,17.204482,walking
0.869183,16.878668,walking
1.232264,16.341837,walking
1.76049,15.652553,walking
1.63269,15.780456,walking
1.847897,16.68251,walking
1.140737,8.43205,walking
0.762739,7.084984,walking
1.996509,13.527941,walking
1.827539,11.406406,walking
1.114767,12.866548,walking
1.230735,18.256481,walking
1.003703,18.47307,walking
0.706624,18.259291,walking
1.199135,17.469249,walking
1.417649,16.663724,walking
1.373559,16.984271,walking
1.615351,17.187925,walking
0.78998,8.6584,walking
0.651831,8.306237,walking
1.928096,14.368186,walking
1.872837,10.502171,walking
1.462825,12.320903,walking
1.338454,12.675743,walking
1.077264,12.873219,walking
0.896696,12.57883,walking
1.246441,11.945888,walking
1.556477,12.248644,walking
1.420883,12.645537,walking
1.712817,13.030337,walking
0.836422,5.923635,walking
0.675725,4.475656,walking
1.652265,9.457358,walking
1.833688,8.731334,walking
1.331586,11.412375,walking
1.43993,13.783355,walking
1.338725,13.906549,walking
1.031255,13.49761,walking
1.537153,12.874613,walking
1.681451,12.799698,walking
1.629538,12.921786,walking
1.837502,13.212742,walking
1.017479,7.232654,walking
0.771195,7.221983,walking
2.230935,10.719501,walking
2.026474,10.174432,walking
1.817319,12.02726,walking
1.711105,14.751724,walking
1.511382,14.855826,walking
1.326777,14.657525,walking
1.833221,14.405153,walking
2.151548,14.260861,walking
2.249692,14.408367,walking
2.574552,14.426401,walking
1.419053,8.532506,walking
1.185215,6.608166,walking
2.149775,10.940903,walking
2.263754,9.198983,walking
1.931675,10.113186,walking
1.771787,13.211786,walking
1.496809,13.168145,walking
1.251282,12.683213,walking
1.623234,12.480582,walking
1.708536,12.809352,walking
1.646272,12.673754,walking
2.114684,13.284755,walking
1.128699,6.893943,walking
0.789205,8.405363,walking
1.780486,20.72354,walking
1.742727,19.790837,walking
1.274942,23.296375,walking
1.248379,24.673037,walking
1.082779,24.92477,walking
0.861887,24.469582,walking
1.659677,24.049803,walking
1.294007,24.333857,walking
1.42212,25.524093,walking
1.728738,24.327817,walking
0.736843,9.612121,walking
1.465461,17.88838,walking
1.83488,15.244874,walking
1.511261,14.635299,walking
1.157583,19.291838,walking
1.18229,20.475804,walking
0.702235,20.209111,walking
1.086812,19.41749,walking
1.635514,17.940239,walking
1.366812,18.396612,walking
1.670789,19.912563,walking
0.680425,10.299394,walking
0.572955,9.647149,walking
1.516373,21.128083,walking
1.877506,18.443281,walking
0.915549,19.390963,walking
1.043506,28.064786,walking
0.916766,28.086654,walking
0.630038,28.005301,walking
1.157185,27.164257,walking
1.432543,26.344417,walking
1.306447,27.179215,walking
1.543858,27.77146,walking
0.540582,16.066332,walking
0.616831,23.747039,walking
1.593542,23.337967,walking
1.179655,15.487196,walking
0.706079,18.248208,walking
0.765386,18.519825,walking
0.600368,19.015495,walking
0.403785,19.436055,walking
1.189951,18.119383,walking
1.196956,18.5156,walking
0.901113,21.737696,walking
0.621585,12.793605,walking
0.152704,10.857531,walking
1.388229,19.914914,walking
1.8249,21.019816,walking
0.758592,22.631519,walking
0.656017,32.381915,walking
0.689839,30.559623,walking
0.374614,30.710231,walking
0.624566,29.588473,walking
1.664149,27.375021,walking
1.451933,26.632732,walking
1.795466,26.77093,walking
0.680983,17.294599,walking
0.44513,14.002118,walking
1.845855,19.16326,walking
1.817879,12.265557,walking
1.456094,12.163247,walking
1.170003,13.917086,walking
0.946575,15.1281,walking
0.794183,14.998869,walking
1.215713,14.727692,walking
1.48384,15.511297,walking
1.386739,17.093145,walking
1.464643,17.967992,walking
0.783987,11.099938,walking
0.773934,20.616116,walking
1.501986,20.354967,walking
1.486564,19.36338,walking
1.118962,21.849086,walking
1.089083,23.553782,walking
0.911312,24.089081,walking
0.656732,22.118184,walking
1.438282,21.21927,walking
1.500182,21.346429,walking
1.513284,21.521452,walking
1.40383,10.420507,walking
0.569577,8.538289,walking
1.072167,21.859276,walking
1.994941,19.141051,walking
1.501525,20.253523,walking
1.245445,23.627567,walking
1.397992,23.951511,walking
0.994052,23.686512,walking
1.123017,23.05502,walking
1.686355,22.680735,walking
1.901478,22.861838,walking
1.950983,23.701234,walking
